,0
0,0050_close
1,0051_close
2,0052_close
3,0053_close
4,0055_close
5,0056_close
6,0057_close
7,0061_close
8,00625K_close
9,00631L_close
10,00632R_close
11,00633L_close
12,00634R_close
13,00635U_close
14,00636K_close
15,00636_close
16,00637L_close
17,00638R_close
18,00639_close
19,00640L_close
20,00641R_close
21,00642U_close
22,00643K_close
23,00643_close
24,00645_close
25,00646_close
26,00647L_close
27,00648R_close
28,00650L_close
29,00651R_close
30,00652_close
31,00653L_close
32,00654R_close
33,00655L_close
34,00656R_close
35,00657_close
36,00657K_close
37,00660_close
38,00661_close
39,00662_close
40,00663L_close
41,00664R_close
42,00665L_close
43,00666R_close
44,00668K_close
45,00668_close
46,00669R_close
47,00670L_close
48,00671R_close
49,00673R_close
50,00674R_close
51,00675L_close
52,00676R_close
53,00678_close
54,00679B_close
55,00680L_close
56,00681R_close
57,00682U_close
58,00683L_close
59,00684R_close
60,00685L_close
61,00686R_close
62,00687B_close
63,00688L_close
64,00689R_close
65,00690_close
66,00692_close
67,00693U_close
68,00694B_close
69,00695B_close
70,00696B_close
71,00697B_close
72,00700_close
73,00701_close
74,00702_close
75,00703_close
76,00706L_close
77,00707R_close
78,00708L_close
79,00709_close
80,00710B_close
81,00711B_close
82,00712_close
83,00713_close
84,00714_close
85,00715L_close
86,00717_close
87,00718B_close
88,00719B_close
89,00720B_close
90,00722B_close
91,00723B_close
92,00724B_close
93,00725B_close
94,00726B_close
95,00727B_close
96,00728_close
97,00730_close
98,00731_close
99,00733_close
100,00734B_close
101,00735_close
102,00736_close
103,00737_close
104,00738U_close
105,00739_close
106,00740B_close
107,00741B_close
108,00746B_close
109,00749B_close
110,00750B_close
111,00751B_close
112,00752_close
113,00753L_close
114,00754B_close
115,00755B_close
116,00756B_close
117,00757_close
118,00758B_close
119,00759B_close
120,00760B_close
121,00761B_close
122,00762_close
123,00763U_close
124,00764B_close
125,00768B_close
126,00770_close
127,00771_close
128,00772B_close
129,00773B_close
130,00775B_close
131,00777B_close
132,00778B_close
133,00779B_close
134,00780B_close
135,00781B_close
136,00782B_close
137,00783_close
138,00784B_close
139,00785B_close
140,00786B_close
141,00787B_close
142,00788B_close
143,00789B_close
144,00790B_close
145,00791B_close
146,00792B_close
147,00793B_close
148,00794B_close
149,00795B_close
150,00799B_close
151,00830_close
152,00834B_close
153,00836B_close
154,00840B_close
155,00841B_close
156,00842B_close
157,00844B_close
158,00845B_close
159,00846B_close
160,00847B_close
161,00848B_close
162,00849B_close
163,00850_close
164,00851_close
165,00852L_close
166,00853B_close
167,00856B_close
168,00857B_close
169,00858_close
170,00859B_close
171,00860B_close
172,00861_close
173,00862B_close
174,00863B_close
175,00864B_close
176,00865B_close
177,00867B_close
178,00870B_close
179,00875_close
180,00876_close
181,00877_close
182,00878_close
183,00881_close
184,00882_close
185,00883B_close
186,00884B_close
187,00885_close
188,00886_close
189,00887_close
190,00888_close
191,00890B_close
192,00891_close
193,00892_close
194,00893_close
195,00894_close
196,00895_close
197,00896_close
198,00897_close
199,00898_close
200,00899_close
201,00900_close
202,00901_close
203,00902_close
204,00903_close
205,00904_close
206,00905_close
207,00907_close
208,00908_close
209,00909_close
210,00910_close
211,00911_close
212,00912_close
213,00913_close
214,00915_close
215,00916_close
216,00917_close
217,00918_close
218,00919_close
219,00920_close
220,00921_close
221,00922_close
222,00923_close
223,00924_close
224,00925_close
225,00926_close
226,00927_close
227,00928_close
228,00929_close
229,00930_close
230,00931B_close
231,00932_close
232,00933B_close
233,00934_close
234,00935_close
235,00936_close
236,00937B_close
237,00938_close
238,00939_close
239,00940_close
240,00941_close
241,00942B_close
242,00943_close
243,00944_close
244,00945B_close
245,00946_close
246,00947_close
247,00948B_close
248,00949_close
249,00950B_close
250,00951_close
251,00952_close
252,00953B_close
253,00954_close
254,00955_close
255,00956_close
256,00957B_close
257,00958B_close
258,00959B_close
259,00960_close
260,00961_close
261,00962_close
262,00963_close
263,00964_close
264,00965_close
265,006201_close
266,006203_close
267,006204_close
268,006205_close
269,006206_close
270,006207_close
271,006208_close
